Vuosi,y_coord,x_coord,Onnettomuustyyppi 1
2010,6677247,3391185,21 Rakennuspalo
2010,6677047,3386995,21 Rakennuspalo
2010,6679340,3371174,21 Rakennuspalo
2010,6674145,3391547,21 Rakennuspalo
2010,6677458,3386778,21 Rakennuspalo
2010,6673928,3382927,21 Rakennuspalo
2010,6679130,3393805,21 Rakennuspalo
2010,6694690,3394237,21 Rakennuspalo
2010,6676349,3385090,21 Rakennuspalo
2010,6687380,3396362,21 Rakennuspalo
2010,6677147,3387845,21 Rakennuspalo
2010,6681403,3384012,21 Rakennuspalo
2010,6673892,3392017,21 Rakennuspalo
2010,6689009,3384642,21 Rakennuspalo
2010,6676572,3386144,21 Rakennuspalo
2010,6683940,3389036,21 Rakennuspalo
2010,6672803,3386658,21 Rakennuspalo
2010,6675172,3391356,21 Rakennuspalo
2010,6674778,3391270,21 Rakennuspalo
2010,6679519,3386726,21 Rakennuspalo
2010,6674778,3391270,21 Rakennuspalo
2010,6673854,3384533,21 Rakennuspalo
2010,6691567,3394665,21 Rakennuspalo
2010,6694406,3382395,21 Rakennuspalo
2010,6684019,3389049,21 Rakennuspalo
2010,6683918,3389036,21 Rakennuspalo
2010,6677929,3397215,21 Rakennuspalo
2010,6682372,3382432,21 Rakennuspalo
2010,6674541,3372842,21 Rakennuspalo
2010,6674736,3368692,21 Rakennuspalo
2010,6682149,3381181,21 Rakennuspalo
2010,6673573,3385471,21 Rakennuspalo
2010,6681841,3383346,21 Rakennuspalo
2010,6676696,3384360,21 Rakennuspalo
2010,6682899,3382969,21 Rakennuspalo
2010,6689864,3394858,21 Rakennuspalo
2010,6684119,3389800,21 Rakennuspalo
2010,6682842,3382378,21 Rakennuspalo
2010,6680568,3392815,21 Rakennuspalo
2010,6691305,3394593,21 Rakennuspalo
2010,6679578,3396717,21 Rakennuspalo
2010,6677923,3396613,21 Rakennuspalo
2010,6676291,3386718,21 Rakennuspalo
2010,6692037,3392487,21 Rakennuspalo
2010,6676109,3386445,21 Rakennuspalo
2010,6673774,3375065,21 Rakennuspalo
2010,6679655,3372533,21 Rakennuspalo
2010,6682925,3393558,21 Rakennuspalo
2010,6676919,3391256,21 Rakennuspalo
2010,6688381,3396233,21 Rakennuspalo
2010,6681261,3380929,21 Rakennuspalo
2010,6678035,3384948,21 Rakennuspalo
2010,6674418,3385563,21 Rakennuspalo
2010,6676812,3386694,21 Rakennuspalo
2010,6677201,3379966,21 Rakennuspalo
2010,6679579,3370192,21 Rakennuspalo
2010,6686488,3395098,21 Rakennuspalo
2010,6677233,3377300,21 Rakennuspalo
2010,6688062,3396224,21 Rakennuspalo
2010,6687399,3396436,21 Rakennuspalo
2010,6674826,3385294,21 Rakennuspalo
2010,6673333,3386221,21 Rakennuspalo
2010,6685990,3395255,21 Rakennuspalo
2010,6694578,3393898,21 Rakennuspalo
2010,6676890,3386883,21 Rakennuspalo
2010,6674332,3367659,21 Rakennuspalo
2010,6673163,3382713,21 Rakennuspalo
2010,6688899,3381432,21 Rakennuspalo
2010,6679123,3393105,21 Rakennuspalo
2010,6675008,3384747,21 Rakennuspalo
2010,6678793,3396941,21 Rakennuspalo
2010,6691731,3389866,21 Rakennuspalo
2010,6680685,3382229,21 Rakennuspalo
2010,6678774,3387659,21 Rakennuspalo
2010,6680021,3375075,21 Rakennuspalo
2010,6676125,3378506,21 Rakennuspalo
2010,6683768,3386188,21 Rakennuspalo
2010,6675530,3386895,21 Rakennuspalo
2010,6680036,3378379,21 Rakennuspalo
2010,6682404,3382495,21 Rakennuspalo
2010,6674724,3374150,21 Rakennuspalo
2010,6676098,3376237,21 Rakennuspalo
2010,6680389,3379270,21 Rakennuspalo
2010,6680671,3395106,21 Rakennuspalo
2010,6684809,3392670,21 Rakennuspalo
2010,6677380,3386019,21 Rakennuspalo
2010,6681961,3383067,21 Rakennuspalo
2010,6679529,3382974,21 Rakennuspalo
2010,6682385,3395219,21 Rakennuspalo
2010,6673709,3382335,21 Rakennuspalo
2010,6678741,3392575,21 Rakennuspalo
2010,6673709,3382335,21 Rakennuspalo
2010,6684975,3390755,21 Rakennuspalo
2010,6673800,3384178,21 Rakennuspalo
2010,6681990,3382498,21 Rakennuspalo
2010,6682404,3382495,21 Rakennuspalo
2010,6673706,3374462,21 Rakennuspalo
